,state_code,dist_code,court_no,mean_days,median_days
0,9.0,6.0,25.0,72.68402777777777,30.0
1,17.0,35.0,1.0,41.33767192836703,4.0
2,10.0,9.0,5.0,20.368911567494624,4.0
3,10.0,7.0,7.0,66.02476752097981,5.0
4,9.0,7.0,48.0,528.3011811023622,365.0
5,17.0,36.0,1.0,38.81811704834605,5.0
6,9.0,28.0,22.0,471.45171339563865,270.0
7,9.0,11.0,26.0,28.832432432432434,13.0
8,21.0,1.0,3.0,43.23711340206186,30.0
9,17.0,13.0,18.0,34.154874892148406,6.0
10,9.0,5.0,28.0,165.8,22.0
11,10.0,8.0,9.0,72.14202536167173,5.0
12,1.0,13.0,13.0,101.70676056338029,7.0
13,17.0,29.0,18.0,434.98298906439857,216.0
14,10.0,15.0,3.0,60.845902330977744,4.0
15,10.0,1.0,20.0,753.0578703703703,522.5
16,10.0,32.0,5.0,515.5253333333334,158.0
17,9.0,2.0,12.0,296.68615107913666,232.0
18,20.0,11.0,8.0,1134.0,1134.0
19,10.0,12.0,24.0,84.99564375605034,44.0
20,9.0,31.0,17.0,1412.553846153846,1371.0
21,9.0,31.0,17.0,1412.553846153846,1371.0
22,10.0,14.0,18.0,590.1467492260061,42.0
23,15.0,9.0,13.0,1611.9285714285713,1536.0
24,21.0,7.0,1.0,1628.8333333333333,1555.0
25,10.0,3.0,21.0,789.1826024442847,766.0
26,20.0,9.0,7.0,997.1783439490446,1081.5
27,10.0,12.0,18.0,44.02690288713911,33.0
28,10.0,12.0,26.0,79.22259414225941,32.0
29,10.0,12.0,26.0,79.22259414225941,32.0
30,10.0,27.0,22.0,1618.490888382688,1759.0
31,18.0,16.0,9.0,3494.0,3494.0
